Unnamed: 0,text,labels,source,dataset,nb_annotators,post_author_country_location,tweet,label,arabert,arabert_mapped,allam_zero_shot,allam_one_shot,allam_three_shot,gemma_0shot,gemma_1shot,gemma_3shot,llama_0shot,llama_1shot,llama_3shot,gpt4o_zero_shot,gpt4o_one_shot,gpt4o_few_shot
419882,"@USER 
كل سنة وأنت طيب يا اخويا❤❤

ربنا يعلم اللي في القلوب يا صاحبي❤ LINK",0.0,,saudi,2,Kuwait,كل سنة وأنت طيب يا اخويا ربنا يعلم اللي في القلوب يا صاحبي LINK,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
421709,"سبحان الله 
صدق نبينا محمد صلى الله عليه وسلم في انكم سوف تهزمون في فلسطين 
وصدق ان المسيح الدجال سوف يخرج اخر الزمان من اصفهان ويتبعه ٧٠الف من اليهود",0.0,,saudi,2,unknown,سبحان الله صدق نبينا محمد صلى الله عليه وسلم في انكم سوف تهزمون في فلسطين وصدق ان المسيح الدجال سوف يخرج اخر الزمان من اصفهان ويتبعه ٧٠الف من اليهود,not,label_1,offensive,not,offensive,offensive,offensive,offensive,offensive,not,not,not,not,not,not
419022,"@USER @USER لا مو كذا ابداً
لا تفسخ من الدين ولا غيره
اسقاط الولايه يعني الزوج المتعنت ماله أمر قانوني على زوجته اللي تصرف عليه
يعني اللي تبغا تستقل في سكنها ماتخاف من بلاغ التغيب
يعني اللي تطلع من السجن او دار الحمايه ماترجعله لانه وليها رفض يستلمها
يعني اللي اخوها او ابوها ياخذ راتبها =",0.0,,saudi,2,Saudi Arabia,لا مو كذا ابداً لا تفسخ من الدين ولا غيره اسقاط الولايه يعني الزوج المتعنت ماله أمر قانوني على زوجته اللي تصرف عليه يعني اللي تبغا تستقل في سكنها ماتخاف من بلاغ التغيب يعني اللي تطلع من السجن او دار الحمايه ماترجعله لانه وليها رفض يستلمها يعني اللي اخوها او ابوها ياخذ راتبها,not,label_0,not,not,offensive,offensive,offensive,offensive,not,not,not,not,not,not,not
416716,"@USER ممكن ترجمة
ما فهمت
اصبح كوهين اعرف مني بلهحة اهل نجد😔🤒🤕",0.0,,saudi,2,unknown,ممكن ترجمة ما فهمت اصبح كوهين اعرف مني بلهحة اهل نجد,not,label_1,offensive,not,not,not,offensive,offensive,offensive,not,not,off,not,not,not
420158,اذا كان ضابط برتبة مقدم وبفتح تصريف السيول ليسهل على الحجاج ويقدم لهم الخدمة بنفسه ترينها سلبيه في خدمة الحجاج فالحمد لله أنه شرفنا بخدمة حجاج بيته اعتقد انك لم ترين مايتم رميه في الطرقات من بعض الحجاج الله يقبل حجهم #السعودية_العظمى #جنودنا_فخرنا,0.0,,saudi,2,Saudi Arabia,اذا كان ضابط برتبة مقدم وبفتح تصريف السيول ليسهل على الحجاج ويقدم لهم الخدمة بنفسه ترينها سلبيه في خدمة الحجاج فالحمد لله أنه شرفنا بخدمة حجاج بيته اعتقد انك لم ترين مايتم رميه في الطرقات من بعض الحجاج الله يقبل حجهم,not,label_0,not,not,not,not,not,offensive,not,not,not,not,not,not,not
418587,"@USER @USER انتم تحرفون الديانه اليهودية .

قبر النبي موسى عند الكثيب الاحمر  بالقرب من جبل الطور ووادي طوى .
يوجد علامات البقعه المباركة .
والشجره الخضراء كل العام .

وإذا ما تعرفون موقعها نستطيع ان ندلكم عليها . 

ولكن موقع مسجد الطور للمسلمين كما أخبر رسولنا صلى الله عليه وسلم.",0.0,,saudi,2,unknown,انتم تحرفون الديانه اليهودية قبر النبي موسى عند الكثيب الاحمر بالقرب من جبل الطور ووادي طوى يوجد علامات البقعه المباركة والشجره الخضراء كل العام وإذا ما تعرفون موقعها نستطيع ان ندلكم عليها ولكن موقع مسجد الطور للمسلمين كما أخبر رسولنا صلى الله عليه وسلم,not,label_0,not,not,not,not,not,offensive,offensive,not,not,not,not,not,not
418557,"كن بـ خير .. لا يهمنى البعد ..!
ربما سنلتقى يوماً فـ الحياة "" صدف ""

#عتب_شمري LINK",0.0,,saudi,2,Jordan,كن بـ خير لا يهمنى البعد ربما سنلتقى يوماً فـ الحياة صدف LINK,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
429536,@USER @USER @USER اذكري علماني واحد يحترم المراة وما تحرش فيها وما يكذب يقول الحق كامل بدون ما ينقص من حقيقة شي ؟,1.0,,saudi,2,unknown,اذكري علماني واحد يحترم المراة وما تحرش فيها وما يكذب يقول الحق كامل بدون ما ينقص من حقيقة شي ؟,offensive,label_0,not,offensive,offensive,offensive,offensive,offensive,not,not,not,not,off,off,not
414555,"#نجران_الان
#العام_الهجري_الجديد1441 
.
"" وما الصداقة إلا إتكاء نفس على نفس "".❤ LINK",0.0,,saudi,2,unknown,وما الصداقة إلا إتكاء نفس على نفس LINK,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
422938,"يجب استبدال ""إسقاط الولاية"" بإلغاء الولاية مثل ما استبدلت كلمة ""تحرير المرأة"" بتمكين المرأة ..

رأفة بالعقول الضيقة التي لا تستطيع تجاوز أزمتها مع المصطلحات.",0.0,,saudi,2,unknown,يجب استبدال إسقاط الولاية بإلغاء الولاية مثل ما استبدلت كلمة تحرير المرأة بتمكين المرأة رأفة بالعقول الضيقة التي لا تستطيع تجاوز أزمتها مع المصطلحات,not,label_0,not,not,offensive,offensive,not,offensive,not,not,not,not,not,not,not
423664,"#صور
توزيع مليون شريحة إتصال وإنترنت مجانية للحجاج
..بالتعاون بين #مطار_الملك_عبدالعزيز ولجنة السقاية والرفادة بـ #إمارة_مكة. LINK",0.0,,saudi,2,Saudi Arabia,توزيع مليون شريحة إتصال وإنترنت مجانية للحجاج بالتعاون بين ولجنة السقاية والرفادة بـ LINK,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
425553,@USER العاصوف اطلق منه😂😂 &gt;&gt; حقين الثرونز بدون طق,0.0,,saudi,2,Saudi Arabia,العاصوف اطلق منه gtgt حقين الثرونز بدون طق,not,label_1,offensive,not,offensive,not,not,offensive,not,not,off,not,not,not,not
416552,"من أقوى صيغ الإجماع

قال ابن رجب الحنبلي رحمه الله :

( وأما استماع آلات الملاهي المطربة المتلقاة من وضع الأعاجم ، فمحرم مجمع على تحريمه ، ولا يعلم عن أحد منه الرخصة في شيء من ذلك ، ومن نقل الرخصة فيه عن إمام يعتد به فقد كذب وافترى )

فتح الباري  (6/ 83)",0.0,,saudi,2,unknown,من أقوى صيغ الإجماع قال ابن رجب الحنبلي رحمه الله وأما استماع آلات الملاهي المطربة المتلقاة من وضع الأعاجم ، فمحرم مجمع على تحريمه ، ولا يعلم عن أحد منه الرخصة في شيء من ذلك ، ومن نقل الرخصة فيه عن إمام يعتد به فقد كذب وافترى فتح الباري 6 83,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
428927,#هروب_الفتيات_مع_داود مشاكلنا مازالت تناقش عام ٢٠١٩ وفي دول متقدمه كانت هذه المشكلة قد انتهت عام ١٩٨٠ 💔,0.0,,saudi,2,Saudi Arabia,مشاكلنا مازالت تناقش عام ٢٠١٩ وفي دول متقدمه كانت هذه المشكلة قد انتهت عام ١٩٨٠,not,label_0,not,not,not,not,not,not,not,not,not,not,not,not,not
