tweet,label,predicted,model,error_type,notes
قال لي احد السوريين اللاجئين بكندا ابناءنا يأخذوهم من مكان لجؤنا يوميا لينصروهم ويعلموهم النصرانيه,not,offensive,gpt4o_few_shot,False Positive,Named Entity confusion
البيئة هذه التي استقدمت المترجمين الكفار واحتفت بهم ونشرت علومهم واستفادت منها هي الحضارة الإسلامية واستفاد كل المسلمين من علوم الفلسفة والمنطق وتفرد الحنابلة السلفية بذم هذه العلوم,offensive,not,gpt4o_few_shot,False Negative,Implicit hate
لانه جاحد ياخذ مايعطي والوفاء صفر اذا اشتهى جا طقطق ومشي من غير حمله للفطريات الي مالها حل ومن غير خرمشته باظافيره ومن غير البخبخه وقت التزاوج كائن امصاري بحت,not,offensive,gpt4o_few_shot,False Positive,Named Entity confusion
السلام على فاطمة البتول وبضعة الرسول ص ولعن الله من ظلمها ولطمها وكسر ظلعها واسقط جنينها لعنة بلدنيا وخزي وعداب بلاخره,not,offensive,gpt4o_few_shot,False Positive,Named Entity confusion
برنامج فاشل ويرفع الضغط وكله عاهات نفسيه ومشاكل بدون حل وش نستفيد منه ؟؟,offensive,not,gpt4o_few_shot,False Negative,Implicit hate
هما مبيشوفوش الكلام ده لانهم تقريبا مش بيتفرجوا الا على القنوات الفاشله واى قناه غيرهم خاصا لو مصريه يقولوا كلامها كدب,offensive,not,gpt4o_few_shot,False Negative,Implicit hate
اكتساب جمهور عريض بإسم الدين شيء سهل فالمسلمون عاطفيون بطبعهم,not,offensive,gpt4o_few_shot,False Positive,Implicit hate
يوني بن مناحيم تصفية الفلسطينيين ال5 ربما يؤدي إلى إطلاق صواريخ ثقيلة نحو المستوطنات,offensive,not,gpt4o_few_shot,False Negative,Implicit hate
اللهم احفظه من كيدهم واجعله سداً منيعا امام كل من أراد تغيير قيم هذا البلد وتغريبه,offensive,not,gpt4o_few_shot,False Negative,Label noise
جزى الله خيرا من انشأه لايحاربه الا سفيه او عدوا للوطن,offensive,not,gpt4o_few_shot,False Negative,Dialect ambiguity
انا من أهل الحجاز لم اسمع بهذه العادة من قبل من أين تاتون بها ربما في الحوجاز تقصدين,offensive,not,gpt4o_few_shot,False Negative,Implicit hate
وش معنى زهراني ليش ماهو واحد وخلاص,not,offensive,gpt4o_few_shot,False Positive,Dialect ambiguity
اعلمك وش سويت في الشيعه كنت اتل علي أعقابكم الويل الويل من يلقي علي بن ابي طالب يوم الحساب انتم كافرين به ليه ما تحبون علي بن ابي طالب انزل من القران ماهو الشفاء ورحمة المؤمنين وما يزيد لظالمين الا خسارا كنت أقول الشيوخ رسولهم بل هم منكرون الشيعه إذا ظهرت متاكد مائه في مائه سلمون,not,offensive,gpt4o_few_shot,False Positive,Named Entity confusion
والله انا مو كاسر خاطري الا عائلة البنت فقط كان الله في عونهم ، ورسالتي لـ البنت رهف سوّدتي وجه عائلتج مره فـ لاتسودينه أكثر من مره ، على الأقل كوني بنت محترمة في هجرتج وكوني بنت صالحة في كندا ، بإمكانج تغيير نظرة المجتمع لج ولأهلج للأفضل ، والله يستر علينا وعليج,not,offensive,gpt4o_few_shot,False Positive,Label noise
لنا في تجربة المستثمر ال اجنبي حكايات وبلاوي يجب ع المسئولين ان لاتكون ال اقامه المميزه نسخة من تجربة المستثمر هل تذكرون مستثمر مطعم ومستثمر سباكه ومستثمر مقاولات نريد مستثمرين مصانع ومصدرين وموردين لا نريد بياعين ابو ريالين وبوفيات ومغاسل وعبايات,offensive,not,gpt4o_few_shot,False Negative,Sarcasm
النسويات مشكلتهم مشكله فاهمين الهروب الحل الوحيد و بتحل مشاكلهم وهي في النهايه بتكون ذليله عند الغرب واذا ناقشتهم وحست انهاماعادعرفت تردتصيركنك رايح سوق العمال اذاكلمت واحد تجمعوعليك عشره,not,offensive,llama_3shot,False Positive,Label noise
باقي يتكلمون على الحلاوة الحلقوم من التقليد الحجازية العصمليه يحلون مع قهوة اللوز وكلها حجازية بالغصب والعفرته والاعلام منبطح لهم في كل شي,offensive,not,llama_3shot,False Negative,Implicit hate
أنا الحين والله نيتساينسمسمس كلهم اجانب والعرب طايحين على جايبيلغش,not,offensive,llama_3shot,False Positive,Label noise
القصيم فيها كل شئ ههههه تعال لها وشف الخرا,offensive,not,llama_3shot,False Negative,Implicit hate
