Unnamed: 0,text,labels,source,dataset,nb_annotators,post_author_country_location,tweet,label,gpt4o_zero_shot,gpt4o_one_shot,gpt4o_few_shot
418603,@USER السلفيين لايعاونون الظالمين والفاسدين والطغاه ولا يدعمون المنقلبين فالمفترض  يصحح قوله ويقول السيسي جاب ادعياء السلفيه من الجاميه مطايا الليبراليه,1.0,,saudi,2,unknown,السلفيين لايعاونون الظالمين والفاسدين والطغاه ولا يدعمون المنقلبين فالمفترض يصحح قوله ويقول السيسي جاب ادعياء السلفيه من الجاميه مطايا الليبراليه,offensive,off,off,off
424320,"#نيزك_صوت_المجتمع
الحق يعلو ولايعلى عليه، تباً للساقطين أعداء الدين.",1.0,,saudi,2,unknown,الحق يعلو ولايعلى عليه، تباً للساقطين أعداء الدين,offensive,off,off,off
416580,@USER تغريدة رائعه لأول مره بتحكي صح يامرتزق التغريده تقصدبهاقطرالمحتله قلتها بأسلوب غير مباشر وبيفهموها قومك الأغبياء بأنها لصالحهم ولنا واضحة،كم أنت حمار ياجرار؟،،جميع أعمال بشارأجرام في وطنه وشعبه إلا فيك عندما صادر عقاراتك وهدم منزلك فهو محق في ذلك لانك خائن,1.0,,saudi,2,Saudi Arabia,تغريدة رائعه لأول مره بتحكي صح يامرتزق التغريده تقصدبهاقطرالمحتله قلتها بأسلوب غير مباشر وبيفهموها قومك الأغبياء بأنها لصالحهم ولنا واضحة،كم أنت حمار ياجرار؟،،جميع أعمال بشارأجرام في وطنه وشعبه إلا فيك عندما صادر عقاراتك وهدم منزلك فهو محق في ذلك لانك خائن,offensive,off,off,off
423080,"العلمانيين مواطنين كويسين جدا
ويسعون لنحيا حياة بهيمية@
عفوا أقصد حياة طبيعية😎

ومن يقول فصل الدين عن السياسة وشؤون الحياة حرام ويسعى لإنعاش الصحوة الدينية في قلوبكم.. احذروا منه لأنه شرير وعدو للوطن 😈

#غرد_كأنك_ليبرالي
#الليبرالية_خلايا_الشيطان LINK",1.0,,saudi,2,Saudi Arabia,العلمانيين مواطنين كويسين جدا ويسعون لنحيا حياة بهيمية عفوا أقصد حياة طبيعية ومن يقول فصل الدين عن السياسة وشؤون الحياة حرام ويسعى لإنعاش الصحوة الدينية في قلوبكم احذروا منه لأنه شرير وعدو للوطن LINK,offensive,off,off,off
422524,"مدير عام دائرة شهداء ضحايا الإرهاب يتفقد أسر الشهداء والمصابين في محافظة ديالى

  wbaad.com/index.php?name…",0.0,,saudi,2,Iraq,مدير عام دائرة شهداء ضحايا الإرهاب يتفقد أسر الشهداء والمصابين في محافظة ديالى wbaadcomindexphpname,not,not,not,not
426994,"كل مايشاع عن حركة نزوح من جنوبي لبنان هو كلام سخيف وعارٍ عن الصحة
الأهالي على الشرفات يشربون الشاي .",0.0,,saudi,2,Syrian Arab Republic,كل مايشاع عن حركة نزوح من جنوبي لبنان هو كلام سخيف وعارٍ عن الصحة الأهالي على الشرفات يشربون الشاي,not,not,not,not
419172,@USER @USER @USER @USER @USER شفت الحلقة للنهاية. حقيقي أشوفها أنصفت السعودية الى حد كبير مقارنة بما اعتدناه في الاعلام الغربي,0.0,,saudi,2,Saudi Arabia,شفت الحلقة للنهاية حقيقي أشوفها أنصفت السعودية الى حد كبير مقارنة بما اعتدناه في الاعلام الغربي,not,not,not,not
414681,@USER لعنهم الله بصوت عبدالرحمن المطيري,1.0,,saudi,2,Saudi Arabia,لعنهم الله بصوت عبدالرحمن المطيري,offensive,off,off,off
420937,@USER إنسان قذر يحاول يغطي على عقدة النقص عنده ومن عاب على غيره إبتلى حسبي الله ونعم الوكيل,1.0,,saudi,2,unknown,إنسان قذر يحاول يغطي على عقدة النقص عنده ومن عاب على غيره إبتلى حسبي الله ونعم الوكيل,offensive,off,off,off
422159,#هروب_الفتيات_مع_داود منت بساكت اسال الله يعجل لك سكته تريحنا من كذابك,1.0,,saudi,2,Saudi Arabia,منت بساكت اسال الله يعجل لك سكته تريحنا من كذابك,offensive,off,off,off
417999,"@USER الأغبياء يعتقدون إن السعودية دخلت حرب اليمن مغامرة وإستعراض قوة.
المملكة أوقفت المد الإيراني وأمنت حدودها وقلبت الموازين باليمن.لولا الله وعاصفة الحزم لأبتلعت إيران الخليج كاملاً وأكتمل الهلال الشيعي الذين كانوا الإخونجية الخونة يلومون السعودية لعدم مواجهتة ولما واجهتة وقفوا ضدها",1.0,,saudi,2,Kuwait,الأغبياء يعتقدون إن السعودية دخلت حرب اليمن مغامرة وإستعراض قوة المملكة أوقفت المد الإيراني وأمنت حدودها وقلبت الموازين باليمنلولا الله وعاصفة الحزم لأبتلعت إيران الخليج كاملاً وأكتمل الهلال الشيعي الذين كانوا الإخونجية الخونة يلومون السعودية لعدم مواجهتة ولما واجهتة وقفوا ضدها,offensive,off,off,off
420265,"@USER @USER لا حول ولا قوة إلا بالله العلي العظيم
لا حول ولا قوة إلا بالله العلي العظيم
لا حول ولا قوة إلا بالله العلي العظيم
لا حول ولا قوة إلا بالله العلي العظيم
لا حول ولا قوة إلا بالله العلي العظيم
.
.
.
#مسابقات_الشمري",0.0,,saudi,2,Saudi Arabia,لا حول ولا قوة إلا بالله العلي العظيم لا حول ولا قوة إلا بالله العلي العظيم لا حول ولا قوة إلا بالله العلي العظيم لا حول ولا قوة إلا بالله العلي العظيم لا حول ولا قوة إلا بالله العلي العظيم,not,not,not,not
